contract_id,vendor_id,category_id,contract_start,contract_end,contract_value,negotiated_savings
C00001,V360,,2023-07-30,2024-12-11,197321.02,38821.77
C00002,v120,CAT02,2023-07-15,2025-04-14,84232.64,64999.19
C00003,V250,CAT10,2023-03-23,2025-07-05,559459.86,98998.99
C00004,V362, CAT03,2023-06-02,2025-03-08,259236.2,63443.6
C00005,v153,CAT08,2023-03-15,2025-10-13,860307.57,69236.65
C00006,V275,CAT07,2023-09-03,2025-12-26,447495.86,47100.71
C00007, V278,CAT10,2023-04-28,2024-09-24,170725.24,93012.4
C00008,V159,CAT02,2023-09-14,2025-08-09,626243.96,44073.62
C00009, V289,CAT09,2023-05-01,2025-03-19,894708.34,23325.24
C00010,V114, CAT03,2023-11-17,2025-12-11,458455.75,66432.59
C00011,V113 ,cat10,2023-07-21,2024-11-08,895875.42,94288.97
C00012,V216,CAT07,2023-04-04,2024-09-22,669169.89,
C00013,V211,CAT09,2023-11-30,2024-11-19,80763.96,
C00014,V305,CAT08,2023-05-12,2025-07-29,877715.25,35528.53
C00015,V393,CAT08 ,2023-01-08,2025-06-18,482147.14,8825.59
C00016,v090,CAT01,2023-11-25,2025-02-18,195202.02,67451.25
C00017,v218,CAT05,2023-04-03,2024-12-13,817627.22,29843.42
C00018,V071, CAT05,2023-02-19,2025-02-26,796031.55,28322.5
C00019, V077,CAT08,2023-08-08,2024-06-08,545392.61,19945.13
C00020, V223, CAT08,2023-11-27,2024-11-29,621300.88,96107.87
C00021,V297,CAT10,2023-07-03,2025-05-25,123027.82,73499.27
C00022, V167,CAT05 ,2023-08-22,2025-10-05,436613.25,26823.11
C00023,V265,CAT09,2023-09-06,2025-09-02,315409.12,52065.72
C00024,V478,CAT06 ,2023-09-24,2025-01-28,912897.98,88096.01
C00025,V420,cat03,2023-08-24,2025-06-08,515195.0,95375.98
C00026,v360,cat10,2023-10-18,2024-09-23,115352.26,16615.39
C00027, V066,CAT09,2023-06-09,2025-08-11,992419.77,41606.78
C00028,V282,CAT05,2023-05-05,2025-04-22,204004.24,67820.52
C00029,V186,CAT04 ,2023-06-16,2025-06-27,118111.24,94469.74
C00030, V153,cat01,2023-05-31,2025-06-24,872635.68,74947.66
C00031,v497, CAT06,2023-08-04,2025-07-10,966326.72,68881.29
C00032,v185,CAT09,2023-11-02,2025-06-29,369621.95,46337.05
C00033,V490,cat08,2023-11-24,2025-10-10,793294.76,53863.48
C00034,v112, CAT07,2023-12-21,2025-11-26,672941.26,46902.55
C00035,v038,CAT10,2023-07-19,2025-04-05,873861.28,27944.61
C00036,V486,CAT07 ,2023-09-20,2025-05-19,190557.61,33459.31
C00037,V369,CAT03 ,2023-10-06,2024-11-11,963515.92,66091.42
C00038,V325,CAT07,2023-07-03,2025-02-06,684862.19,52733.21
C00039, V370,CAT10,2023-01-03,2024-10-22,107408.53,49780.31
C00040,V298,CAT03,2023-09-21,2025-01-18,162895.08,48403.45
C00041,V176,cat02,2023-07-22,2025-08-19,980011.8,24162.49
C00042,V172,CAT07 ,2023-01-12,2025-12-17,280098.3,27570.99
C00043,V318,CAT02,2023-12-07,2024-09-10,985761.9,6991.33
C00044,V380,cat10,2023-10-22,2025-01-04,638916.32,
C00045, V393,CAT04 ,2023-05-09,2024-10-30,512232.71,16389.37
C00046,V316,cat05,2023-06-06,2025-11-23,269397.47,58391.24
C00047,v070,CAT03 ,2023-04-26,2025-02-28,571846.23,28016.76
C00048,V220,CAT07,2023-05-17,2024-07-28,289248.2,81152.96
C00049,V328,CAT05 ,2023-05-07,2025-04-28,541920.83,30139.68
C00050,V468,CAT01,2023-04-26,2025-10-01,836677.18,68049.54
C00051,V479,cat06,2023-05-27,2024-08-27,799970.46,11333.48
C00052,V069,CAT03,2023-04-08,2025-09-04,223465.72,86782.3
C00053,V164,CAT10,2023-02-18,2024-07-28,397346.31,87352.14
C00054,V444,CAT01,2023-01-07,2024-09-13,285267.96,
C00055, V153,CAT10,2023-10-30,2025-05-01,98510.63,90516.43
C00056, V179,cat01,2023-11-15,2024-06-19,139998.47,97668.83
C00057,V092,CAT05,2023-10-25,2025-07-15,432579.64,13764.95
C00058,v424, CAT04,2023-05-28,2025-08-15,879610.91,19857.07
C00059,V413,CAT06,2023-12-09,2025-12-17,480154.52,
C00060,V317,CAT03,2023-07-09,2024-12-03,194809.9,82678.12
C00061,V298,CAT04,2023-12-30,2025-03-03,470570.18,
C00062,V330,CAT09,2023-01-18,2025-11-21,848120.81,69184.99
C00063,v319,CAT03 ,2023-02-09,2024-07-29,456537.97,22797.58
C00064,V063,CAT02,2023-04-01,2024-07-04,814955.41,99544.69
C00065,V059 ,CAT03 ,2023-08-28,2025-11-29,808370.8,14321.63
C00066,V203,CAT02,2023-07-15,2025-04-24,668663.05,30894.34
C00067,V152,CAT10,2023-02-21,2024-06-16,680775.91,75662.46
C00068,V304,cat02,2023-10-09,2025-07-06,137932.28,72507.12
C00069,V106,CAT04 ,2023-01-10,2025-03-20,870973.52,31447.83
C00070,v475,CAT03 ,2023-05-25,2025-03-12,274843.76,75716.38
C00071,V125,cat09,2023-03-21,2024-07-17,609004.56,44717.95
C00072, V219,CAT08,2023-08-05,2024-09-15,102895.59,36020.34
C00073,V008,CAT04,2023-02-28,2024-12-23,273434.48,10789.8
C00074,V114,CAT07,2023-05-04,2025-09-19,858468.35,77213.03
C00075,V169 , CAT07,2023-07-29,2024-08-04,165433.51,
C00076,v041,CAT10 ,2023-04-12,2024-11-08,279640.35,16570.14
C00077,V042,cat09,2023-06-01,2024-12-04,546415.93,29368.35
C00078,V039 , CAT10,2023-10-09,2024-06-09,554673.96,19906.37
C00079,V292,CAT07,2023-12-21,2024-09-06,224696.75,90644.06
C00080,V012,CAT06 ,2023-10-14,2024-07-18,973759.31,18953.71
C00081,V431 , CAT07,2023-03-08,2024-07-28,88531.71,77431.16
C00082,V242,CAT04,2023-06-13,2025-07-18,378189.98,99203.12
C00083,V462 , CAT06,2023-05-26,2024-10-23,593651.38,79654.76
C00084, V072,CAT01,2023-08-15,2024-07-27,869692.06,79064.5
C00085,V423, CAT09,2023-12-10,2024-08-23,572821.24,
C00086,V247 ,cat03,2023-10-11,2024-11-30,351924.63,81661.71
C00087,V377, CAT07,2023-07-25,2025-04-21,316370.66,63798.27
C00088,V181, CAT05,2023-08-28,2024-12-07,362181.76,73937.2
C00089,v144,CAT07,2023-02-05,2025-08-02,336169.0,17105.32
C00090, V394,CAT10,2023-07-06,2025-10-26,571961.12,50898.99
C00091,V263,cat03,2023-07-18,2025-02-01,826210.5,47728.34
C00092,V052,CAT08,2023-01-04,2024-09-14,275282.26,
C00093,V483 ,cat06,2023-04-05,2025-05-09,991425.43,
C00094,V368,CAT10,2023-05-24,2025-03-03,292934.7,12556.15
C00095,v450,CAT10,2023-12-30,2024-07-26,90236.46,42624.25
C00096,V474,cat06,2023-12-04,2025-06-06,890946.39,
C00097,V135, CAT08,2023-06-08,2025-02-16,73413.76,61898.66
C00098, V444,CAT10 ,2023-04-09,2025-11-11,785299.41,98245.79
C00099,v107,CAT06 ,2023-07-16,2025-11-09,807849.84,52536.38
C00100,V464,CAT09,2023-01-21,2025-11-08,437518.82,
C00101, V305,CAT08,2023-08-04,2024-10-31,766275.54,84159.01
C00102,V163,CAT01,2023-02-03,2024-08-31,902056.33,44101.95
C00103,V229,CAT03,2023-01-02,2024-12-29,917761.47,
C00104,V242,CAT04,2023-02-26,2025-06-19,885706.48,25489.07
C00105,v459,cat04,2023-04-27,2025-05-01,329674.35,37304.02
C00106,V384,CAT05,2023-10-11,2025-02-18,318479.93,57551.57
C00107,V129 ,CAT04,2023-07-16,2025-08-22,871657.45,48198.19
C00108,V258 ,CAT04,2023-09-23,2025-09-10,318811.01,62880.35
C00109,v244,CAT05,2023-01-09,2024-10-10,236550.23,91734.94
