invoice_id,invoice_line_id,po_id,vendor_id,invoice_date,invoice_amount,invoice_status
INV000001, INV1,PO02412 ,V458,2023-01-25,12509.31,posted
INV000002, INV1,PO03754,v366,2023-06-25,5021.31,Cancelled
INV000003,INV2 ,PO03645, V079,2024-02-12,44847.16,posted
INV000004,INV1,po07593,V475,2024-08-23,64248.06,CANCELLED
INV000005,INV2 ,PO05055,V407,2024-09-09,40764.55,Cancelled
INV000006, INV2,PO07687,V196 ,2023-12-27,57847.3,POSTED
INV000007, INV2,po05695,V324,2023-08-12,73268.08,posted
INV000008,INV2 ,po04555,V111 ,2023-12-02,17268.66,CANCELLED
INV000009,INV2,PO05547, V063,2024-01-01,6874.56,CANCELLED
INV000010,INV1,PO02625,V483,2023-02-15,28506.12,POSTED
INV000011,inv2,PO01176,V206,2023-06-22,24020.99,CANCELLED
INV000012,INV1,PO05656 ,v462,2024-11-28,8088.45,posted
INV000013,INV1,PO04424,V162,2023-03-28,84803.08,CANCELLED
INV000014,INV1,PO01791,V386 ,2023-12-15,53954.97,POSTED
INV000015,INV1,PO07623,V492,2023-01-11,93564.75,posted
INV000016,inv1,PO01570,v151,2023-01-19,86476.49,posted
INV000017,INV1,po05686,V106 ,2023-11-18,61916.89,posted
INV000018,INV1,PO03509,V357,2024-01-19,79948.06,Cancelled
INV000019,inv1, PO01073, V049,2023-05-31,14969.46,
INV000020, INV1, PO06412, V385,2024-07-20,46477.18,Cancelled
INV000021,INV2,PO05402,V409,2024-06-01,87568.32,CANCELLED
INV000022,INV2 ,PO07409,V072,2024-10-18,86435.33,
INV000023,INV2,PO05903,V147,2024-06-11,67026.99,posted
INV000024,INV1,PO01745 ,V367,2023-05-10,51307.24,Cancelled
INV000025,INV1,PO03620,V322 ,2023-09-05,86529.57,
INV000026,INV2,PO04365, V292,2023-03-22,93435.39,
INV000027,INV2,PO02920,v133,2023-12-31,45138.56,Cancelled
INV000028,INV2,po07518,V382,2024-12-08,42395.48,
INV000029,INV1,po01218,V487,2024-01-13,17159.49,CANCELLED
INV000030,INV1,PO06792, V282,2023-12-09,34736.87,posted
INV000031,INV1 ,PO01344, V252,2024-04-23,59761.48,Cancelled
INV000032, INV1,PO01837, V391,2024-09-05,63152.0,POSTED
INV000033,INV2 , PO01126,V116 ,2023-10-15,27163.22,
INV000034,INV1,po03171,V303,2024-01-23,50706.14,POSTED
INV000035,INV1, PO02485,V359,2023-09-11,6772.02,CANCELLED
INV000036, INV2,PO02369,V251,2023-06-26,85526.53,
INV000037,inv2,PO07915 ,V147,2024-08-17,65006.93,POSTED
INV000038,INV1,PO06155 ,V384,2024-03-24,90457.99,CANCELLED
INV000039,INV1,PO05162,V367,2023-03-02,83321.62,Cancelled
INV000040,INV2,po05841,V463,2024-06-06,57936.76,
INV000041, INV1,po00620,V406,2023-04-20,54371.55,
INV000042,INV2,PO02000,V185,2023-01-06,6287.88,posted
INV000043,INV2 ,PO01068,V244,2023-04-16,86601.2,POSTED
INV000044,inv1, PO01990,V238,2024-06-13,4026.86,Cancelled
INV000045,inv2,PO06709 ,V182,2024-12-08,10899.38,Cancelled
INV000046,inv2,po00164,v134,2024-08-27,39699.8,
INV000047,INV1,PO01395 ,V337,2024-01-03,48248.34,
INV000048,INV1,PO00727,V343,2023-08-04,32901.22,CANCELLED
INV000049,INV2 ,PO02780,V275,2023-04-10,86764.3,
INV000050,INV2,PO01092,V399,2023-08-18,65438.26,POSTED
INV000051,INV2,PO04210 , V277,2024-09-09,25206.51,posted
INV000052,INV1,PO07908,v218,2023-09-04,38155.86,POSTED
INV000053,INV2,po07888,V178,2023-03-01,29984.23,CANCELLED
INV000054,INV1,PO06982 ,V067,2024-10-08,29139.66,POSTED
INV000055,INV2 ,PO04905,V423,2023-10-20,81624.62,CANCELLED
INV000056,INV1,PO04859,V062,2024-03-13,42581.98,
INV000057,INV2,PO00418 , V103,2023-11-03,50845.31,CANCELLED
INV000058,INV2 ,PO07092,V469,2024-04-02,50189.65,CANCELLED
INV000059,INV1,PO06432,V152,2023-02-08,63699.6,Cancelled
