po_id,po_line_id,vendor_id,category_id,region_id,order_date,ordered_amount,currency
PO00001,POL3,V219,cat01,LATAM,2024-03-13,72129.99,USD
PO00002, POL2,V318,CAT09,NA,2024-07-18,66755.24, USD
PO00003,POL3 ,V161 ,CAT01 ,emea,2024-03-13,56012.44,
PO00004,POL2,V306,CAT06,NA,2024-12-06,5643.53, USD
PO00005,POL3,v107,CAT02,EMEA,2024-04-05,94734.71,
PO00006,POL3,V397 ,CAT07,apac,2023-07-31,65406.75,usd
PO00007,POL2,V111,cat05,EMEA,2023-01-26,17515.01,USD
PO00008, POL3,V114 ,cat06,APAC ,2023-09-17,44424.14,
PO00009,POL1 , V458,CAT09, APAC,2023-02-24,95187.16, USD
PO00010,POL2,V052, CAT08,EMEA,2024-11-06,44930.96,USD
PO00011,POL2,V300,CAT01 , NA,2023-01-08,43948.86, USD
PO00012,POL2,V413,CAT01,NA ,2023-02-23,53954.48,
PO00013,POL2,V444 ,CAT06 , EMEA,2024-10-01,80409.03,
PO00014,POL2 ,V316 ,CAT06,NA,2024-01-15,97674.08,usd
PO00015,POL3,V117,,APAC ,2023-08-05,46794.6,USD
PO00016, POL1,V359,CAT03,EMEA ,2024-01-20,93818.27,usd
PO00017,POL3,V231,CAT07, NA,2023-12-23,37501.23,usd
PO00018,POL1, V471,CAT06, APAC,2024-10-23,99217.66,
PO00019,pol1,V466,CAT04,EMEA,2024-03-22,20190.91,
PO00020,POL1,V498 ,CAT02 ,APAC,2024-04-26,55418.94, USD
PO00021,POL3, V481,CAT02,EMEA,2023-07-24,,USD
PO00022,POL2,V424,CAT06,LATAM,2024-05-25,13570.13,
PO00023,POL3,V083,cat01,LATAM ,2023-07-11,33188.4,USD
PO00024,POL2,V237,CAT01,NA ,2024-09-10,88849.43,
PO00025, POL1,V252,CAT05 ,NA,2023-07-06,83297.58,
PO00026,POL2, V397,CAT07,apac,2024-02-28,60239.21,USD
PO00027,pol1, V466,CAT05,LATAM,2024-05-31,,USD
PO00028,pol2,V231,CAT01 ,NA,2024-05-18,96269.63,usd
PO00029,pol2,V333 ,CAT01,LATAM ,2024-01-30,57129.37,USD
PO00030,POL3,V337,CAT07 ,emea,2023-03-15,13349.18,
PO00031,POL3,V149,cat05,APAC,2023-05-21,10928.21,usd
PO00032,POL3,V026,CAT09 ,APAC,2024-06-11,56453.19,
PO00033,POL1,V375,CAT09 , APAC,2024-07-08,22665.65,USD
PO00034,POL1,V131 ,CAT03,LATAM,2023-10-03,63811.88,usd
PO00035,POL2 ,V206,CAT05,APAC ,2023-10-06,95417.49,USD
PO00036,POL2,V295,CAT10,LATAM,2023-04-23,59802.45, USD
PO00037, POL3,V496, CAT05,NA ,2023-11-15,54571.23,usd
PO00038,POL3,V386,CAT06,emea,2023-05-11,83446.11,USD
PO00039,POL2,V220,CAT02,NA,2024-01-12,2767.44,USD
PO00040,POL3,V138,CAT01,LATAM,2023-08-25,35154.87,usd
PO00041,POL1,V199,CAT06,,2024-10-27,32603.94,usd
PO00042,POL3,V278,CAT09,EMEA ,2023-08-25,22059.98,
PO00043, POL3,v439,cat02, LATAM,2024-03-06,1532.58,USD
PO00044,POL1,V079,CAT06,EMEA ,2023-01-19,4642.22,usd
PO00045,POL3,V062,CAT06,EMEA,2023-06-23,98072.7,
PO00046,POL1, V031,CAT02 ,APAC,2024-07-19,,
PO00047,POL3 ,v214, CAT10, APAC,2024-03-19,28014.17, USD
PO00048,POL1,v068,CAT02,NA,2024-09-08,43918.7,
PO00049, POL3,V166 ,CAT08,apac,2023-01-24,1896.11,USD
PO00050,POL1 ,V376,CAT02 ,LATAM,2024-07-23,6264.49,
PO00051,POL1,V209 ,CAT02, LATAM,2024-06-07,53115.12,USD
PO00052,POL3,V256,CAT05,NA ,2024-05-24,63044.48,usd
PO00053,POL3,V485 ,CAT08,LATAM ,2024-05-06,80412.1,usd
PO00054,POL1,v385,CAT07, NA,2023-11-20,31051.8,USD
PO00055,POL2, V181,CAT02, NA,2024-05-21,28849.64,USD
PO00056,POL3 ,V131 , CAT04,APAC,2024-06-28,38836.23, USD
PO00057,POL2,v003,cat04,emea,2024-05-14,97986.87,usd
PO00058,POL1,V269, CAT07,NA,2023-07-23,78539.5,USD
PO00059,POL1 ,V403,cat06,EMEA,2024-01-18,4485.83, USD
PO00060,POL2,V272 ,CAT02 ,NA,2024-08-30,91973.75, USD
PO00061,POL3,V350,CAT05,na,2023-10-04,63329.35,
PO00062,POL1 ,V213 ,CAT07,apac,2023-10-26,86873.75, USD
PO00063, POL2, V167,CAT09,APAC,2024-02-25,72141.28,
PO00064,POL1,V457 ,CAT03 ,LATAM ,2023-09-05,31003.32,USD
PO00065,POL1,V134,CAT02,apac,2023-10-04,42173.94,usd
PO00066,POL2 ,V302 ,CAT04,EMEA,2023-06-28,49928.93,usd
PO00067,POL1 ,V003,CAT02,EMEA,2024-05-28,31769.9, USD
PO00068,POL2 ,V427,CAT04,NA ,2024-11-15,94143.87, USD
PO00069,POL2,v209,CAT03,na,2024-01-15,52748.38,usd
