vendor_id,vendor_name,vendor_tier,region_id,active_flag
V001,Vendor 1,Strategic,NA,N
V002, Vendor 2,Preferred ,LATAM,Y
V003,Vendor  3,preferred,EMEA,N
V004,Vendor  4, Strategic,APAC,Y
V005,Vendor 5,PREFERRED,NA,
V006,Vendor 6, Tactical,APAC,Y
V007, Vendor 7,Strategic, EMEA,y
V008,VENDOR 8,Preferred,EMEA,N
V009, Vendor 9,Tactical, LATAM,y
V010,Vendor  10,Preferred,LATAM,y
V011, Vendor 11,Tactical,latam,
V012,Vendor 12 ,preferred,emea,
V013,Vendor 13,Tactical ,APAC,Y
V014, Vendor 14,tactical,na,Y
V015,Vendor 15 ,Preferred,NA,N
V016, Vendor 16, Strategic,EMEA,y
V017,Vendor 17 ,Tactical,LATAM,
V018,vendor 18,Preferred,APAC,
V019,Vendor 19,Preferred,latam,N
V020,Vendor 20 ,Preferred,EMEA,
V021,Vendor  21,tactical,latam,y
V022,Vendor 22,STRATEGIC,latam,y
V023,vendor 23,Preferred,LATAM,N
V024,Vendor 24 ,preferred,EMEA ,y
V025,VENDOR 25,strategic,APAC,Y
V026,Vendor 26 ,Tactical,LATAM,y
V027,Vendor  27,Preferred ,EMEA,Y
V028,Vendor  28,preferred,apac,
V029,Vendor 29 ,Tactical ,LATAM,Y
V030,Vendor 30,tactical,EMEA ,N
V031,Vendor 31,Preferred,EMEA,N
V032,vendor 32,Preferred,APAC,N
V033,Vendor 33 ,Tactical,LATAM,N
V034,Vendor 34 , Tactical,EMEA,N
V035,Vendor 35 ,Tactical,APAC,y
V036,Vendor  36,Tactical,APAC,
V037,VENDOR 37,Preferred ,LATAM,Y
V038,VENDOR 38,,EMEA,Y
V039, Vendor 39,Strategic ,APAC ,
V040,Vendor 40 ,PREFERRED,EMEA,N
V041,Vendor  41,Preferred,NA,N
V042, Vendor 42,Strategic, NA,Y
V043,Vendor 43,TACTICAL,EMEA ,N
V044,Vendor 44,TACTICAL,APAC,y
V045,Vendor 45,Strategic,emea,y
V046,vendor 46,Preferred,LATAM ,y
V047, Vendor 47,strategic,LATAM ,
